epoch,mean_loss,mIOU,acc_global,lr
0,0.5632024652428097,69.36058402061462,0.9326872229576111,0.0001
1,0.5863997949494256,70.05395889282227,0.9343010783195496,9.525044508886255e-05
2,0.536310542623202,70.30601501464844,0.9345511198043823,9.047441598024851e-05
3,0.5091879387696584,70.81564664840698,0.9354478716850281,8.567019265304034e-05
4,0.5907781100935406,70.84133625030518,0.935042142868042,8.083582821352e-05
5,0.5216894881592856,70.81677913665771,0.9352381825447083,7.596910172667857e-05
6,0.4980170362525516,70.98810076713562,0.9353487491607666,7.106745713352175e-05
7,0.5066776106754939,71.33176922798157,0.9362581372261047,6.612792274786855e-05
8,0.505594011147817,71.10677361488342,0.9356338977813721,6.114700299720599e-05
9,0.5395312117205726,71.44448161125183,0.9365728497505188,5.6120529393606634e-05
10,0.5342796987957424,71.59287929534912,0.9370391964912415,5.104344967050664e-05
11,0.45848391089174484,71.48166298866272,0.9365378022193909,4.590951950795017e-05
12,0.507089740700192,71.7252254486084,0.9369022846221924,4.071083360168709e-05
13,0.4646058585908678,71.74357175827026,0.9371710419654846,3.543707636690779e-05
14,0.47001169820626576,71.71729803085327,0.9371311664581299,3.00742470537778e-05
15,0.4735024313131968,71.27709984779358,0.9359815120697021,2.4602302343206626e-05
16,0.48022649619314406,71.73923850059509,0.9372490644454956,1.899025901996191e-05
17,0.45794365704059603,71.68110013008118,0.9368746876716614,1.3184047384371662e-05
18,0.4538993484444088,71.81615233421326,0.9373464584350586,7.065156057695295e-06
19,0.4464482244518068,71.85720205307007,0.9373129606246948,0.0
