epoch,mean_loss,mIOU,acc_global,lr
0,4.900681654612224,0.30962578020989895,0.009271214716136456,0.0001
1,4.432836469014486,3.768327087163925,0.5866778492927551,9.525044508886255e-05
2,3.9771872599919638,3.9593160152435303,0.6768679618835449,9.047441598024851e-05
3,3.696690567334493,3.941395878791809,0.6978673338890076,8.567019265304034e-05
4,3.528426829973857,3.81818488240242,0.7138577103614807,8.083582821352e-05
5,3.3132573207219442,3.7259887903928757,0.7173722982406616,7.596910172667857e-05
6,3.2053691943486533,3.7330005317926407,0.7197256088256836,7.106745713352175e-05
7,3.144657079378764,3.693624958395958,0.7222973108291626,6.612792274786855e-05
8,3.091900698343913,3.628869354724884,0.7271091341972351,6.114700299720599e-05
9,3.1622483571370443,3.6504697054624557,0.7261638641357422,5.6120529393606634e-05
10,3.1681254704793296,3.69923859834671,0.7229743599891663,5.104344967050664e-05
11,3.0129621267318725,3.630445897579193,0.7277255654335022,4.590951950795017e-05
12,3.1069138685862225,3.624900057911873,0.7284185290336609,4.071083360168709e-05
13,3.0351009448369344,3.579941764473915,0.7301262021064758,3.543707636690779e-05
14,3.0075817902882895,3.647971898317337,0.7284556031227112,3.00742470537778e-05
15,3.076199499766032,3.5977646708488464,0.7305344939231873,2.4602302343206626e-05
16,3.04412841796875,3.598606213927269,0.7306259274482727,1.899025901996191e-05
17,3.017244990666707,3.6077119410037994,0.7303148508071899,1.3184047384371662e-05
18,3.037236714363098,3.623548522591591,0.7299501895904541,7.065156057695295e-06
19,3.0461590687433877,3.647831082344055,0.7290269732475281,0.0
