epoch,mean_loss,mIOU,acc_global,lr
20,1.3902608683851898,70.46070098876953,0.936611533164978,8.161927016617026e-05
21,1.3640706519611547,70.36000490188599,0.9360764026641846,8.068883912351375e-05
22,1.3720025938065326,69.25456523895264,0.9337970614433289,7.975721442120746e-05
23,1.35812921993068,70.59648036956787,0.9368016123771667,7.882437899493905e-05
24,1.3844643244977857,69.99837756156921,0.9345886707305908,7.78903153085323e-05
25,1.3987861695836803,70.10509371757507,0.9355065822601318,7.695500533442811e-05
26,1.3714723391611068,70.44809460639954,0.9360277056694031,7.601843053308334e-05
27,1.3449737361220062,70.03953456878662,0.9349413514137268,7.508057183121132e-05
28,1.3721266476834406,70.82542181015015,0.9372189044952393,7.414140959878266e-05
29,1.3455861044711754,68.4457540512085,0.9324650168418884,7.320092362469644e-05
30,1.3539116714821486,69.95662450790405,0.9349724054336548,7.225909309102527e-05
31,1.3486602892641162,69.7119414806366,0.9348389506340027,7.131589654572877e-05
32,1.334095907993004,69.79495286941528,0.9337877631187439,7.037131187372016e-05
33,1.3330430339594357,70.92981934547424,0.9364530444145203,6.942531626616071e-05
34,1.3333356927652829,70.42331099510193,0.9346929788589478,6.847788618784499e-05
35,1.3239940971624655,68.94034147262573,0.9328762888908386,6.752899734252695e-05
36,1.3560377496187803,70.58970928192139,0.9361477494239807,6.657862463602231e-05
37,1.3258551769569271,69.76265907287598,0.9347191452980042,6.562674213690764e-05
38,1.353879318862665,70.3101396560669,0.9349391460418701,6.467332303461756e-05
39,1.3126573855759667,68.57458353042603,0.9318587779998779,6.371833959472288e-05
40,1.3338344644327633,71.33461236953735,0.9384203553199768,6.276176311114925e-05
41,1.3422000505885139,70.32313942909241,0.9355616569519043,6.180356385507219e-05
42,1.3064631653613732,69.45221424102783,0.9340143203735352,6.084371102019526e-05
43,1.3324440326847014,68.88220310211182,0.9325461983680725,5.988217266408789e-05
44,1.2793892680621537,69.68539357185364,0.934389591217041,5.891891564522327e-05
45,1.2899053116313746,69.52791810035706,0.9343264698982239,5.79539055553173e-05
46,1.3171406085373925,71.06800079345703,0.9371810555458069,5.6987106646524194e-05
47,1.27399417025144,70.10436654090881,0.9353083372116089,5.601848175299303e-05
48,1.3031120046240385,69.4516122341156,0.9339610934257507,5.504799220623177e-05
49,1.326072208216933,70.03617286682129,0.9351630210876465,5.407559774365832e-05
50,1.3160000668197382,68.95326972007751,0.9326387643814087,5.3101256409643164e-05
51,1.3105954478998654,70.45169472694397,0.9357817769050598,5.2124924448260426e-05
52,1.3332447419401074,70.205819606781,0.9351673126220703,5.114655618686577e-05
53,1.2753133275469795,68.32851767539978,0.9316053986549377,5.016610390950377e-05
54,1.3140617452683996,70.35892009735107,0.9354552030563354,4.918351771901559e-05
55,1.3097100941861262,70.75278759002686,0.9358547329902649,4.819874538656438e-05
56,1.3008548353539138,69.17130947113037,0.9327267408370972,4.721173218711773e-05
57,1.282609112927171,70.94280123710632,0.937657356262207,4.6222420719218475e-05
58,1.301829979067943,69.16038990020752,0.9331496953964233,4.523075070713328e-05
59,1.3083613681011512,69.70524191856384,0.9341840744018555,4.423665878318266e-05
60,1.2443869446144729,69.55640316009521,0.9332137107849121,4.324007824772112e-05
61,1.3003265974951572,70.81462740898132,0.9362953305244446,4.224093880383944e-05
62,1.2780914560693208,70.09165287017822,0.9348897933959961,4.1239166263389466e-05
