epoch,mean_loss,mIOU,acc_global,lr
0,3.179881223042806,21.310824155807495,0.7572330832481384,0.0001
1,1.9841109408272637,39.192986488342285,0.8668045997619629,9.525044508886255e-05
2,1.4489063845740424,48.803165555000305,0.8952590227127075,9.047441598024851e-05
3,1.2180547396341959,53.63225340843201,0.9058116674423218,8.567019265304034e-05
4,1.0948436856269836,56.835561990737915,0.9131711721420288,8.083582821352e-05
5,1.0236497574382357,59.5319926738739,0.91737961769104,7.596910172667857e-05
6,0.8907118360201518,60.94390153884888,0.9204242825508118,7.106745713352175e-05
7,0.922975844807095,62.27174401283264,0.9231821894645691,6.612792274786855e-05
8,0.8339160919189453,63.62197399139404,0.9250195026397705,6.114700299720599e-05
9,0.8380486064487034,63.865816593170166,0.926770031452179,5.6120529393606634e-05
10,0.8394319183296628,64.41751718521118,0.9279480576515198,5.104344967050664e-05
11,0.7720165067248874,64.74759578704834,0.928225576877594,4.590951950795017e-05
12,0.7464024537139469,65.65183997154236,0.9295380115509033,4.071083360168709e-05
13,0.7251375496387482,65.49313068389893,0.9304837584495544,3.543707636690779e-05
14,0.7144741190804376,65.70228338241577,0.9303653240203857,3.00742470537778e-05
15,0.7526167194048564,66.41775369644165,0.930689811706543,2.4602302343206626e-05
16,0.7156174090173509,66.14629626274109,0.931337296962738,1.899025901996191e-05
17,0.764093408981959,66.51819348335266,0.9316740036010742,1.3184047384371662e-05
18,0.7077340722084046,65.91775417327881,0.9306586980819702,7.065156057695295e-06
19,0.711801122294532,66.82050228118896,0.9317082166671753,0.0
