epoch mean_loss mIOU acc_global lr
0 0.5631940576765272 69.36021447181702 0.9326863884925842 0.0001
1 0.5864062282774184 70.05349397659302 0.93430095911026 9.525044508886255e-05
2 0.5362901508808136 70.30450701713562 0.9345470070838928 9.047441598024851e-05
3 0.5091479463709725 70.81406116485596 0.9354450702667236 8.567019265304034e-05
4 0.5907596925894419 70.84168195724487 0.9350432753562927 8.083582821352e-05
5 0.5216920620865292 70.81613540649414 0.9352355003356934 7.596910172667857e-05
6 0.49794875979423525 70.98703980445862 0.9353439211845398 7.106745713352175e-05
7 0.5066732284095552 71.331387758255 0.9362561702728271 6.612792274786855e-05
8 0.5056033631165823 71.10649347305298 0.9356318116188049 6.114700299720599e-05
9 0.539550393819809 71.44310474395752 0.9365707635879517 5.6120529393606634e-05
10 0.5342033233907487 71.59202694892883 0.9370374083518982 5.104344967050664e-05
11 0.4584676616721683 71.48011922836304 0.9365348219871521 4.590951950795017e-05
12 0.507102166281806 71.72359228134155 0.9368985891342163 4.071083360168709e-05
13 0.4646077530251609 71.74263000488281 0.9371699094772339 3.543707636690779e-05
14 0.4700120968951119 71.7160165309906 0.9371280074119568 3.00742470537778e-05
15 0.4734866973426607 71.27709984779358 0.9359811544418335 2.4602302343206626e-05
16 0.4803154581122928 71.73911929130554 0.9372484683990479 1.899025901996191e-05
17 0.45791619022687274 71.6797411441803 0.9368725419044495 1.3184047384371662e-05
18 0.45389766726228925 71.81512117385864 0.9373441934585571 7.065156057695295e-06
19 0.4464484045902888 71.85709476470947 0.9373114705085754 0.0
